transaction_id,amount,transaction_hour,kyc_level,device_change,location_change,past_fraud_count,is_fraud
TXN100000,988.54,8,2,0,1,0,0
TXN100001,6070.24,3,2,0,0,0,0
TXN100002,2683.49,5,3,1,0,1,0
TXN100003,1875.89,23,1,1,0,0,0
TXN100004,389.25,1,2,0,0,0,0
TXN100005,389.19,0,2,1,0,0,0
TXN100006,169.68,22,2,0,0,0,0
TXN100007,4072.46,16,3,0,1,0,0
TXN100008,1888.16,3,3,0,0,0,0
TXN100009,2512.5,4,3,0,0,0,0
TXN100010,91.6,17,1,0,0,0,0
TXN100011,7057.11,12,1,0,1,0,1
TXN100012,3622.86,19,1,1,0,0,0
TXN100013,527.38,10,2,0,0,0,0
TXN100014,451.36,22,1,1,0,0,0
TXN100015,455.22,19,2,0,0,0,0
TXN100016,775.51,0,3,0,0,0,0
TXN100017,1537.86,11,2,0,1,1,0
TXN100018,1181.07,12,2,1,0,0,0
TXN100019,738.45,3,1,0,1,0,1
TXN100020,1942.74,11,1,1,0,1,1
TXN100021,350.47,5,2,0,1,0,0
TXN100022,741.03,12,1,1,0,0,0
TXN100023,962.55,13,3,0,0,2,0
TXN100024,1267.87,11,1,1,0,0,0
TXN100025,3125.87,20,3,0,0,0,0
TXN100026,495.47,19,3,0,1,1,0
TXN100027,1494.06,1,1,0,0,0,0
TXN100028,1845.01,21,1,1,0,0,0
TXN100029,145.13,11,1,1,0,0,0
TXN100030,1920.67,5,3,0,0,0,0
TXN100031,423.92,21,1,0,0,1,0
TXN100032,184.53,3,2,0,0,0,0
TXN100033,5997.38,23,3,0,0,0,0
TXN100034,6791.26,0,1,0,0,0,1
TXN100035,3354.66,7,3,0,1,1,0
TXN100036,776.58,7,1,1,0,0,0
TXN100037,255.55,20,2,1,1,0,0
TXN100038,2355.5,11,1,0,0,1,0
TXN100039,1210.18,3,1,0,0,0,0
TXN100040,310.3,15,1,0,0,2,0
TXN100041,1417.09,13,2,0,0,0,0
TXN100042,119.99,13,1,0,0,0,0
TXN100043,4850.85,1,3,1,1,1,1
TXN100044,648.92,16,1,0,0,0,0
TXN100045,2222.51,23,1,0,0,0,0
TXN100046,797.09,7,2,0,0,0,0
TXN100047,1518.22,6,1,0,1,1,1
TXN100048,1632.45,12,1,1,1,1,1
TXN100049,458.78,10,2,0,1,0,0
TXN100050,7035.61,18,3,0,0,1,0
TXN100051,3034.49,18,1,1,0,1,1
TXN100052,5660.19,9,2,1,0,0,0
TXN100053,4554.3,23,2,0,0,0,0
TXN100054,1872.11,10,3,1,0,1,0
TXN100055,5148.87,15,2,0,0,0,0
TXN100056,235.31,7,1,0,0,0,0
TXN100057,486.27,1,2,0,0,0,0
TXN100058,142.56,13,1,1,0,0,0
TXN100059,837.06,16,1,0,0,0,0
TXN100060,1034.26,16,3,0,0,0,0
TXN100061,683.12,10,2,0,1,0,0
TXN100062,3579.12,0,3,1,0,1,1
TXN100063,932.45,18,1,0,0,0,0
TXN100064,709.61,0,2,0,0,1,0
TXN100065,1614.81,23,1,0,0,2,0
TXN100066,353.8,23,2,0,0,0,0
TXN100067,3290.97,3,1,0,0,1,1
TXN100068,204.95,23,1,0,0,0,0
TXN100069,8718.29,6,2,1,0,0,0
TXN100070,3008.97,19,2,0,0,0,0
TXN100071,493.08,0,1,1,1,0,1
TXN100072,61.07,10,2,0,0,0,0
TXN100073,3429.79,12,2,1,0,0,0
TXN100074,2504.19,2,3,0,0,0,0
TXN100075,2661.33,23,3,0,1,0,0
TXN100076,3000.43,7,3,0,0,0,0
TXN100077,203.86,11,2,0,0,1,0
TXN100078,937.79,1,2,1,0,0,0
TXN100079,296.3,22,3,0,1,1,0
TXN100080,4027.06,0,3,0,0,0,0
TXN100081,2002.6,19,1,1,0,0,0
TXN100082,853.64,13,2,1,0,0,0
TXN100083,181.34,14,2,1,0,0,0
TXN100084,794.98,22,1,0,0,0,0
TXN100085,836.63,3,3,0,0,1,0
TXN100086,2665.75,19,1,0,0,1,0
TXN100087,2079.78,6,2,0,0,0,0
TXN100088,4414.5,0,3,0,0,0,0
TXN100089,1328.13,4,2,0,0,0,0
TXN100090,304.74,13,3,0,0,1,0
TXN100091,2548.25,5,1,1,0,0,0
TXN100092,2910.79,22,2,1,0,0,0
TXN100093,1697.77,6,3,1,1,0,0
TXN100094,2997.78,11,3,1,1,1,1
TXN100095,1411.63,6,3,0,1,1,0
TXN100096,1529.36,17,1,0,0,1,0
TXN100097,1165.63,21,3,0,0,1,0
TXN100098,101.5,15,1,1,1,0,1
TXN100099,278.33,8,2,0,0,0,0
TXN100100,113.87,6,2,1,0,0,0
TXN100101,2073.46,22,1,1,1,0,1
TXN100102,804.79,13,3,0,0,0,0
TXN100103,1470.87,1,2,1,0,0,0
TXN100104,4812.53,12,1,0,0,0,0
TXN100105,623.48,6,2,0,0,0,0
TXN100106,1106.56,18,1,1,0,0,0
TXN100107,2867.5,1,2,0,0,1,0
TXN100108,569.61,5,2,1,0,0,0
TXN100109,210.21,11,2,1,0,0,0
TXN100110,734.28,1,3,0,0,0,0
TXN100111,401.62,16,3,0,0,0,0
TXN100112,5359.9,11,2,0,0,0,0
TXN100113,3351.77,19,3,0,0,0,0
TXN100114,2056.99,8,2,0,0,1,0
TXN100115,4153.04,13,2,0,0,2,0
TXN100116,3305.94,2,1,0,0,0,0
TXN100117,462.99,2,1,0,0,0,0
